cath,development_split,evaluation,reference,weighting,denominator,mean_max_tanimoto,q05,q25,median,q75,q95,fraction_ge_0.3,fraction_ge_0.4,fraction_ge_0.5,fraction_ge_0.6,fraction_ge_0.7,fraction_ge_0.8,fraction_ge_0.9,fraction_ge_1.0
1.20.920.10,composite_scaffold,validation,train,rows,21185,0.9386659847757798,0.5883660130718955,1.0,1.0,1.0,1.0,0.9970734009912674,0.9858390370545197,0.9704507906537645,0.9476516403115411,0.907056879867831,0.8549917394382818,0.823271182440406,0.8104319093698371
1.20.920.10,random,validation,train,unique_canonical_ligands,15971,0.9700254713641412,0.7555555555555555,1.0,1.0,1.0,1.0,0.9993738651305492,0.9961179638094045,0.9918602466971386,0.984284014776783,0.9667522384321583,0.9321895936384698,0.8906142383069313,0.8822866445432346
1.20.920.10,random,validation,train,rows,21185,0.9771678335929406,0.7922567998039697,1.0,1.0,1.0,1.0,0.9995279679018173,0.9970734009912674,0.9938635827236252,0.9881519943356148,0.9747462827472269,0.9482652820391787,0.9165447250413028,0.9101250885060184
2.40.10.10,both,cath_lso_test,development,unique_canonical_ligands,5478,0.48423261102716714,0.28150788834951457,0.35294117647058826,0.4375,0.5399206349206349,1.0,0.9110989412194231,0.619569185834246,0.32000730193501276,0.1796276013143483,0.11664841182913473,0.09200438116100766,0.07703541438481197,0.07502738225629792
2.40.10.10,both,cath_lso_test,development,rows,18140,0.47891185654745577,0.2903225806451613,0.3695652173913043,0.4457831325301205,0.5206192922374429,1.0,0.9317530319735391,0.67045203969129,0.30485115766262405,0.14421168687982358,0.08461962513781698,0.06775082690187431,0.05964718853362734,0.05904079382579934
2.40.10.10,composite_scaffold,validation,train,unique_canonical_ligands,14184,0.9119797496920312,0.5,0.9022391043582567,1.0,1.0,1.0,0.9954173716864072,0.9767343485617598,0.9515651438240271,0.9182882120699379,0.8674562887760857,0.7958262831359278,0.7505640157924421,0.7367456288776085
2.40.10.10,composite_scaffold,validation,train,rows,20971,0.9375829112058527,0.5714285714285714,1.0,1.0,1.0,1.0,0.9969004816174718,0.9841209289018168,0.9666205712650804,0.9428734919650946,0.9064422297458395,0.8546087454103285,0.8217061656573363,0.8111201182585476
2.40.10.10,random,validation,train,unique_canonical_ligands,15716,0.9695376922233236,0.75,1.0,1.0,1.0,1.0,0.9986637821328582,0.9951005344871469,0.9902646983965385,0.9816747263934843,0.9650038177653347,0.9307711885976075,0.8920844998727412,0.8843853397811148
2.40.10.10,random,validation,train,rows,20971,0.9767448249928734,0.7872340425531915,1.0,1.0,1.0,1.0,0.9989986171379525,0.9963282628391589,0.9927042105765104,0.9860760097277192,0.9732487721138715,0.9472128177006343,0.9174097563301702,0.9114491440560775
2.40.70.10,both,cath_lso_test,development,unique_canonical_ligands,7376,0.33646091207974266,0.25396825396825395,0.29213483146067415,0.31868131868131866,0.35526315789473684,0.4749630450849963,0.6885845986984815,0.1279826464208243,0.039723427331887204,0.017760303687635575,0.009219088937093275,0.004880694143167028,0.002982646420824295,0.0028470715835141
2.40.70.10,both,cath_lso_test,development,rows,36510,0.3288439078433779,0.25882352941176473,0.2976190476190476,0.32,0.34545454545454546,0.41346153846153844,0.7319364557655437,0.06800876472199398,0.01747466447548617,0.008134757600657355,0.004711038071761161,0.0030402629416598193,0.0024102985483429196,0.0023829087921117503
2.40.70.10,composite_scaffold,validation,train,unique_canonical_ligands,13871,0.9109763997885669,0.5071560008178286,0.8888888888888888,1.0,1.0,1.0,0.9948814072525413,0.9779395861870088,0.9532117367168914,0.9168048446398962,0.8675654242664552,0.7925888544445245,0.7481075625405522,0.7315262057530099
2.40.70.10,composite_scaffold,validation,train,rows,20070,0.9354147977642948,0.5625,1.0,1.0,1.0,1.0,0.9964623816641753,0.9844045839561535,0.9667663178873941,0.9403089187842552,0.9044843049327355,0.8491280518186348,0.8159940209267563,0.8038863976083707
2.40.70.10,random,validation,train,unique_canonical_ligands,15016,0.9685530940922135,0.7448436821537125,1.0,1.0,1.0,1.0,0.9990676611614278,0.9962706446457112,0.991009589770911,0.9824187533297816,0.9654368673415024,0.9267448055407566,0.8878529568460309,0.8779968034096963
2.40.70.10,random,validation,train,rows,20070,0.9760970368472905,0.7837837837837838,1.0,1.0,1.0,1.0,0.9993024414549079,0.9972097658196313,0.9932237169905331,0.9867463876432486,0.9738913801694071,0.9443946188340807,0.9143996013951171,0.906925759840558
2.60.40.10,both,cath_lso_test,development,unique_canonical_ligands,5542,0.6114899960008329,0.3253012048192771,0.4375,0.5909090909090909,0.7362637362637363,1.0,0.974197040779502,0.8213641284734753,0.6515698303861421,0.48754962107542404,0.30368098159509205,0.183868639480332,0.14056297365571996,0.13533020570191268
2.60.40.10,both,cath_lso_test,development,rows,14709,0.6289429761065958,0.3484848484848485,0.46153846153846156,0.6,0.75,1.0,0.9861309402406689,0.8702155143109661,0.6840029913658304,0.5018016180569719,0.3194642735740023,0.20096539533618873,0.16316540893330614,0.15874634577469576
2.60.40.10,composite_scaffold,validation,train,unique_canonical_ligands,14390,0.9130729444212218,0.5086083853702051,0.9093822843822843,1.0,1.0,1.0,0.9965253648366922,0.9797081306462821,0.9546907574704656,0.9194579569145239,0.8681723419041001,0.7982626824183461,0.752675469075747,0.7377345378735233
2.60.40.10,composite_scaffold,validation,train,rows,21211,0.9382189195933626,0.5740740740740741,1.0,1.0,1.0,1.0,0.9976427325444345,0.9859506859648296,0.9685069067936448,0.9435670171137617,0.9073593889962756,0.8562538305596153,0.8224977605959172,0.8117957663476498
