cath,development_split,evaluation,reference,identity,weighting,reference_rows,query_rows,reference_unique_keys,denominator,seen,unseen,fraction_seen,excluded_empty_key,excluded_generic_failure,query_acyclic_rows,query_acyclic_unique_canonical_ligands
3.30.565.10,random,validation,train,murcko_generic,rows,406699,21557,18233,21437,21113,324,0.9848859448616878,120,0,120,113
3.30.565.10,random,validation,train,murcko_generic,unique_raw_ligands,406699,21557,18233,16105,15785,320,0.9801303942874884,114,0,120,113
3.30.565.10,random,validation,train,murcko_generic,unique_canonical_ligands,406699,21557,18233,16031,15713,318,0.9801634333478885,113,0,120,113
3.30.565.10,random,validation,train,murcko_generic,unique_keys,406699,21557,18233,4919,4605,314,0.9361658873754828,1,0,120,113
3.30.565.10,random,cath_lso_test,train,smiles,rows,406699,7882,116570,7882,85,7797,0.010784064958132453,0,0,0,0
3.30.565.10,random,cath_lso_test,train,smiles,unique_raw_ligands,406699,7882,116570,1748,18,1730,0.010297482837528604,0,0,0,0
3.30.565.10,random,cath_lso_test,train,smiles,unique_keys,406699,7882,116570,1748,18,1730,0.010297482837528604,0,0,0,0
3.30.565.10,random,cath_lso_test,train,canonical_isomeric,rows,406699,7882,111324,7882,105,7777,0.013321492007104795,0,0,0,0
3.30.565.10,random,cath_lso_test,train,canonical_isomeric,unique_raw_ligands,406699,7882,111324,1748,26,1722,0.014874141876430207,0,0,0,0
3.30.565.10,random,cath_lso_test,train,canonical_isomeric,unique_canonical_ligands,406699,7882,111324,1596,24,1572,0.015037593984962405,0,0,0,0
3.30.565.10,random,cath_lso_test,train,canonical_isomeric,unique_keys,406699,7882,111324,1596,24,1572,0.015037593984962405,0,0,0,0
3.30.565.10,random,cath_lso_test,train,murcko_typed,rows,406699,7882,35741,7882,1975,5907,0.25057092108601875,0,0,0,0
3.30.565.10,random,cath_lso_test,train,murcko_typed,unique_raw_ligands,406699,7882,35741,1748,247,1501,0.14130434782608695,0,0,0,0
3.30.565.10,random,cath_lso_test,train,murcko_typed,unique_canonical_ligands,406699,7882,35741,1596,227,1369,0.14223057644110276,0,0,0,0
