cath,model,development,evaluation,threshold,n,value,extended_panel,configuration,cohort,operation,method,panel,figure_role
3.30.565.10,heavy_atom_count,composite,cath_lso_test,Weak+,7882,0.746728678339,J,original,full,Training-only one-variable logistic regression,,D,SI
3.40.190.10,heavy_atom_count,composite,cath_lso_test,Weak+,2657,0.517485891714,J,original,full,Training-only one-variable logistic regression,,D,SI
1.10.510.10,heavy_atom_count,composite,validation,High,16433,0.561467608342,J,original,full,Training-only one-variable logistic regression,,D,SI
1.10.565.10,heavy_atom_count,composite,validation,High,20827,0.585274009492,J,original,full,Training-only one-variable logistic regression,,D,SI
1.10.1300.10,heavy_atom_count,composite,validation,High,21895,0.583961419085,J,original,full,Training-only one-variable logistic regression,,D,SI
1.20.920.10,heavy_atom_count,composite,validation,High,21185,0.579212255367,J,original,full,Training-only one-variable logistic regression,,D,SI
2.40.10.10,heavy_atom_count,composite,validation,High,20971,0.579223506001,J,original,full,Training-only one-variable logistic regression,,D,SI
2.40.70.10,heavy_atom_count,composite,validation,High,20070,0.590381999148,J,original,full,Training-only one-variable logistic regression,,D,SI
2.60.40.10,heavy_atom_count,composite,validation,High,21211,0.586326646428,J,original,full,Training-only one-variable logistic regression,,D,SI
3.10.200.10,heavy_atom_count,composite,validation,High,16332,0.630049152069,J,original,full,Training-only one-variable logistic regression,,D,SI
3.30.565.10,heavy_atom_count,composite,validation,High,21557,0.586577561747,J,original,full,Training-only one-variable logistic regression,,D,SI
3.40.190.10,heavy_atom_count,composite,validation,High,21811,0.588797312578,J,original,full,Training-only one-variable logistic regression,,D,SI
1.10.510.10,heavy_atom_count,composite,cath_lso_test,High,109519,0.640942173876,J,original,full,Training-only one-variable logistic regression,,D,SI
1.10.565.10,heavy_atom_count,composite,cath_lso_test,High,22467,0.577603974073,J,original,full,Training-only one-variable logistic regression,,D,SI
1.10.1300.10,heavy_atom_count,composite,cath_lso_test,High,1108,0.710430603576,J,original,full,Training-only one-variable logistic regression,,D,SI
1.20.920.10,heavy_atom_count,composite,cath_lso_test,High,13728,0.723462014379,J,original,full,Training-only one-variable logistic regression,,D,SI
2.40.10.10,heavy_atom_count,composite,cath_lso_test,High,18140,0.679322848129,J,original,full,Training-only one-variable logistic regression,,D,SI
