cath,model,development,evaluation,threshold,n,value,extended_panel,configuration,cohort,operation,method,panel,figure_role
3.40.190.10,heavy_atom_count,random,cath_lso_test,High,2657,0.596842657509,G,original,full,Training-only one-variable logistic regression,,D,main
1.10.1300.10,deepdta,random,validation,Weak+,21895,0.9813949997683649,,original,full,FP32 original,,E,
1.10.1300.10,deepdta,random,validation,Weak+,21895,0.9604874222091822,,intervened,full,Logit additive projection,,E,
1.10.1300.10,deepdta,random,validation,High,21895,0.97940825994784,,original,full,FP32 original,,E,
1.10.1300.10,deepdta,random,validation,High,21895,0.9383053675752083,,intervened,full,Logit additive projection,,E,
1.10.1300.10,deepdta,random,cath_lso_test,Weak+,1108,0.6624175272518646,,original,full,FP32 original,,E,
1.10.1300.10,deepdta,random,cath_lso_test,Weak+,1108,0.6801402036718301,,intervened,full,Logit additive projection,,E,
1.10.1300.10,deepdta,random,cath_lso_test,High,1108,0.6123784244395036,,original,full,FP32 original,,E,
1.10.1300.10,deepdta,random,cath_lso_test,High,1108,0.6284579044111646,,intervened,full,Logit additive projection,,E,
1.10.510.10,deepdta,random,validation,Weak+,16433,0.9825092523541451,,original,full,FP32 original,,E,
1.10.510.10,deepdta,random,validation,Weak+,16433,0.9653696342541787,,intervened,full,Logit additive projection,,E,
1.10.510.10,deepdta,random,validation,High,16433,0.9818252670272093,,original,full,FP32 original,,E,
1.10.510.10,deepdta,random,validation,High,16433,0.93841666601543,,intervened,full,Logit additive projection,,E,
1.10.510.10,deepdta,random,cath_lso_test,Weak+,109519,0.6666665871957047,,original,full,FP32 original,,E,
1.10.510.10,deepdta,random,cath_lso_test,Weak+,109519,0.6668271883768667,,intervened,full,Logit additive projection,,E,
1.10.510.10,deepdta,random,cath_lso_test,High,109519,0.6047556401144825,,original,full,FP32 original,,E,
1.10.510.10,deepdta,random,cath_lso_test,High,109519,0.6099577821010082,,intervened,full,Logit additive projection,,E,
1.10.565.10,deepdta,random,validation,Weak+,20827,0.9815627003533579,,original,full,FP32 original,,E,
1.10.565.10,deepdta,random,validation,Weak+,20827,0.9602627113180644,,intervened,full,Logit additive projection,,E,
1.10.565.10,deepdta,random,validation,High,20827,0.9733117921628778,,original,full,FP32 original,,E,
1.10.565.10,deepdta,random,validation,High,20827,0.9339492628743051,,intervened,full,Logit additive projection,,E,
1.10.565.10,deepdta,random,cath_lso_test,Weak+,22467,0.650127052057909,,original,full,FP32 original,,E,
1.10.565.10,deepdta,random,cath_lso_test,Weak+,22467,0.6621705069479986,,intervened,full,Logit additive projection,,E,
1.10.565.10,deepdta,random,cath_lso_test,High,22467,0.5386873554891993,,original,full,FP32 original,,E,
1.10.565.10,deepdta,random,cath_lso_test,High,22467,0.5443279158015322,,intervened,full,Logit additive projection,,E,
1.20.920.10,deepdta,random,validation,Weak+,21185,0.9824542345414481,,original,full,FP32 original,,E,
1.20.920.10,deepdta,random,validation,Weak+,21185,0.9614702870223575,,intervened,full,Logit additive projection,,E,
1.20.920.10,deepdta,random,validation,High,21185,0.9799696148887118,,original,full,FP32 original,,E,
1.20.920.10,deepdta,random,validation,High,21185,0.9282464669167769,,intervened,full,Logit additive projection,,E,
1.20.920.10,deepdta,random,cath_lso_test,Weak+,13728,0.6324837464781641,,original,full,FP32 original,,E,
1.20.920.10,deepdta,random,cath_lso_test,Weak+,13728,0.6493102821453202,,intervened,full,Logit additive projection,,E,
1.20.920.10,deepdta,random,cath_lso_test,High,13728,0.6444578565301585,,original,full,FP32 original,,E,
1.20.920.10,deepdta,random,cath_lso_test,High,13728,0.6577601628009364,,intervened,full,Logit additive projection,,E,
2.40.10.10,deepdta,random,validation,Weak+,20971,0.986923779521688,,original,full,FP32 original,,E,
2.40.10.10,deepdta,random,validation,Weak+,20971,0.964948253348154,,intervened,full,Logit additive projection,,E,
2.40.10.10,deepdta,random,validation,High,20971,0.9805632712674517,,original,full,FP32 original,,E,
2.40.10.10,deepdta,random,validation,High,20971,0.9370705184386291,,intervened,full,Logit additive projection,,E,
2.40.10.10,deepdta,random,cath_lso_test,Weak+,18140,0.6606895606489426,,original,full,FP32 original,,E,
2.40.10.10,deepdta,random,cath_lso_test,Weak+,18140,0.679201599107451,,intervened,full,Logit additive projection,,E,
2.40.10.10,deepdta,random,cath_lso_test,High,18140,0.6192241079472895,,original,full,FP32 original,,E,
2.40.10.10,deepdta,random,cath_lso_test,High,18140,0.6274606152046746,,intervened,full,Logit additive projection,,E,
2.40.70.10,deepdta,random,validation,Weak+,20070,0.9820434381946901,,original,full,FP32 original,,E,
2.40.70.10,deepdta,random,validation,Weak+,20070,0.9602869908153505,,intervened,full,Logit additive projection,,E,
2.40.70.10,deepdta,random,validation,High,20070,0.9745286991384575,,original,full,FP32 original,,E,
2.40.70.10,deepdta,random,validation,High,20070,0.9377965266569677,,intervened,full,Logit additive projection,,E,
2.40.70.10,deepdta,random,cath_lso_test,Weak+,36510,0.7113990006914002,,original,full,FP32 original,,E,
2.40.70.10,deepdta,random,cath_lso_test,Weak+,36510,0.7232001753378929,,intervened,full,Logit additive projection,,E,
2.40.70.10,deepdta,random,cath_lso_test,High,36510,0.5743975596465889,,original,full,FP32 original,,E,
2.40.70.10,deepdta,random,cath_lso_test,High,36510,0.5848740949296258,,intervened,full,Logit additive projection,,E,
2.60.40.10,deepdta,random,validation,Weak+,21211,0.9841898081668536,,original,full,FP32 original,,E,
2.60.40.10,deepdta,random,validation,Weak+,21211,0.9642212529178603,,intervened,full,Logit additive projection,,E,
2.60.40.10,deepdta,random,validation,High,21211,0.9819337266134389,,original,full,FP32 original,,E,
2.60.40.10,deepdta,random,validation,High,21211,0.9340923513873312,,intervened,full,Logit additive projection,,E,
2.60.40.10,deepdta,random,cath_lso_test,Weak+,14709,0.6367824592132487,,original,full,FP32 original,,E,
2.60.40.10,deepdta,random,cath_lso_test,Weak+,14709,0.6402812472855813,,intervened,full,Logit additive projection,,E,
2.60.40.10,deepdta,random,cath_lso_test,High,14709,0.559123290856796,,original,full,FP32 original,,E,
2.60.40.10,deepdta,random,cath_lso_test,High,14709,0.56110215850627,,intervened,full,Logit additive projection,,E,
3.10.200.10,deepdta,random,validation,Weak+,16332,0.975164757843394,,original,full,FP32 original,,E,
3.10.200.10,deepdta,random,validation,Weak+,16332,0.9568949950163985,,intervened,full,Logit additive projection,,E,
3.10.200.10,deepdta,random,validation,High,16332,0.9677340719695224,,original,full,FP32 original,,E,
3.10.200.10,deepdta,random,validation,High,16332,0.928600549623427,,intervened,full,Logit additive projection,,E,
3.10.200.10,deepdta,random,cath_lso_test,Weak+,95479,0.5723375237575111,,original,full,FP32 original,,E,
3.10.200.10,deepdta,random,cath_lso_test,Weak+,95479,0.5614502139652563,,intervened,full,Logit additive projection,,E,
3.10.200.10,deepdta,random,cath_lso_test,High,95479,0.5078202766671432,,original,full,FP32 original,,E,
3.10.200.10,deepdta,random,cath_lso_test,High,95479,0.5066631159847959,,intervened,full,Logit additive projection,,E,
3.30.565.10,deepdta,random,validation,Weak+,21557,0.9780743039440005,,original,full,FP32 original,,E,
3.30.565.10,deepdta,random,validation,Weak+,21557,0.9550690847694667,,intervened,full,Logit additive projection,,E,
3.30.565.10,deepdta,random,validation,High,21557,0.9659299036885093,,original,full,FP32 original,,E,
3.30.565.10,deepdta,random,validation,High,21557,0.9246806004471438,,intervened,full,Logit additive projection,,E,
3.30.565.10,deepdta,random,cath_lso_test,Weak+,7882,0.5831934834792432,,original,full,FP32 original,,E,
3.30.565.10,deepdta,random,cath_lso_test,Weak+,7882,0.5861276828579498,,intervened,full,Logit additive projection,,E,
3.30.565.10,deepdta,random,cath_lso_test,High,7882,0.5457296798067227,,original,full,FP32 original,,E,
3.30.565.10,deepdta,random,cath_lso_test,High,7882,0.5406649538466551,,intervened,full,Logit additive projection,,E,
3.40.190.10,deepdta,random,validation,Weak+,21811,0.9810999494462466,,original,full,FP32 original,,E,
3.40.190.10,deepdta,random,validation,Weak+,21811,0.9571585628670289,,intervened,full,Logit additive projection,,E,
3.40.190.10,deepdta,random,validation,High,21811,0.9756899626033112,,original,full,FP32 original,,E,
3.40.190.10,deepdta,random,validation,High,21811,0.9276263906180081,,intervened,full,Logit additive projection,,E,
3.40.190.10,deepdta,random,cath_lso_test,Weak+,2657,0.4837822943933372,,original,full,FP32 original,,E,
3.40.190.10,deepdta,random,cath_lso_test,Weak+,2657,0.4896751520003743,,intervened,full,Logit additive projection,,E,
3.40.190.10,deepdta,random,cath_lso_test,High,2657,0.645841560547527,,original,full,FP32 original,,E,
3.40.190.10,deepdta,random,cath_lso_test,High,2657,0.6463413936185435,,intervened,full,Logit additive projection,,E,
1.10.1300.10,transformerdta,random,validation,Weak+,21895,0.9912791512886636,,original,full,FP32 original,,F,
1.10.1300.10,transformerdta,random,validation,Weak+,21895,0.983037447689053,,intervened,full,Logit additive projection,,F,
1.10.1300.10,transformerdta,random,validation,High,21895,0.9905310892778163,,original,full,FP32 original,,F,
1.10.1300.10,transformerdta,random,validation,High,21895,0.9793519625151632,,intervened,full,Logit additive projection,,F,
1.10.1300.10,transformerdta,random,cath_lso_test,Weak+,1108,0.5962421113023523,,original,full,FP32 original,,F,
1.10.1300.10,transformerdta,random,cath_lso_test,Weak+,1108,0.5840325588066552,,intervened,full,Logit additive projection,,F,
1.10.1300.10,transformerdta,random,cath_lso_test,High,1108,0.5396991749675961,,original,full,FP32 original,,F,
1.10.1300.10,transformerdta,random,cath_lso_test,High,1108,0.5438977965398918,,intervened,full,Logit additive projection,,F,
1.10.510.10,transformerdta,random,validation,Weak+,16433,0.990347929266278,,original,full,FP32 original,,F,
