cath,model,development,evaluation,threshold,n,positives,positive_fraction,auc,auc_from_logits,average_precision,brier,ece,bce,ordinal_violation_fraction,world_size,optimizer_batch
2.40.10.10,deepdta,composite,cath_lso_test,Weak+,18140,15645,0.8624586549062845,0.6825610697265416,0.6825610697265416,0.9222741307506093,0.13955576682756998,0.11906361229259646,0.5162271568869904,0.0,8,65536
2.40.10.10,deepdta,composite,cath_lso_test,High,18140,9114,0.502425578831312,0.6417312534471771,0.6417312534471771,0.6328690926214113,0.32347885759513595,0.27443650570210754,1.1178425986079004,0.0,8,65536
2.40.10.10,deepdta,random,validation,Weak+,20971,19508,0.9302369939440179,0.986953246725216,0.9869532467252161,0.9989254311547625,0.01697315466271868,0.008328009722776879,0.06872043497621812,0.0,8,65536
2.40.10.10,deepdta,random,validation,High,20971,11740,0.5598207047827953,0.98056501064759,0.98056501064759,0.9844576757825709,0.051585247823889895,0.020238225584618415,0.18854653206302438,0.0,8,65536
2.40.10.10,deepdta,random,cath_lso_test,Weak+,18140,15645,0.8624586549062845,0.6604056306925132,0.6604056306925132,0.9156952165384148,0.1945646571064455,0.19078004573437007,0.7235594499234571,0.0,8,65536
2.40.10.10,deepdta,random,cath_lso_test,High,18140,9114,0.502425578831312,0.6192281377072677,0.6192281377072677,0.5949689791736528,0.3743687036180724,0.3438762418033024,1.4954179665971792,0.0,8,65536
2.40.10.10,transformerdta,composite,validation,Weak+,20971,18806,0.8967621954127128,0.9702417340640388,0.9702247992692618,0.9959772731831253,0.034724298129391665,0.01760060068138201,0.13525959467544021,0.0005722187783129083,4,4096
2.40.10.10,transformerdta,composite,validation,High,20971,10409,0.4963521052882552,0.9735174753454748,0.9735174753454747,0.9737494608750514,0.065562476460686,0.03677455535981353,0.24229898665845476,0.0005722187783129083,4,4096
2.40.10.10,transformerdta,composite,cath_lso_test,Weak+,18140,15645,0.8624586549062845,0.7143068111294497,0.7143111406577938,0.9311117592681034,0.1357329180343118,0.11953045063808984,0.6366054546707929,5.5126791620727676e-05,4,4096
2.40.10.10,transformerdta,composite,cath_lso_test,High,18140,9114,0.502425578831312,0.6934731649105179,0.6934731892227953,0.6804645988426177,0.2900172210510607,0.24831829606154565,1.177893446012559,5.5126791620727676e-05,4,4096
2.40.10.10,transformerdta,random,validation,Weak+,20971,19508,0.9302369939440179,0.9912820349847534,0.9912918106682069,0.9992428468243859,0.01327613905688163,0.007389704262023617,0.05398197846199035,0.006151351866863764,8,8192
2.40.10.10,transformerdta,random,validation,High,20971,11740,0.5598207047827953,0.9909099440316378,0.9909100224652247,0.9928635885266107,0.03548771713547834,0.016850861321672416,0.13273142567042326,0.006151351866863764,8,8192
2.40.10.10,transformerdta,random,cath_lso_test,Weak+,18140,15645,0.8624586549062845,0.7174525465120076,0.7174501127534711,0.9318873633044523,0.1349095761859279,0.10945573229881075,0.6325372295467271,0.000330760749724366,8,8192
2.40.10.10,transformerdta,random,cath_lso_test,High,18140,9114,0.502425578831312,0.688858427226133,0.6888584029138556,0.6654182330137522,0.2970273755730417,0.25852980006797854,1.167878825647437,0.000330760749724366,8,8192
2.40.70.10,deepdta,composite,validation,Weak+,20070,17895,0.8916292974588939,0.9455170743770334,0.9455191683286606,0.9920891152259942,0.050401871629722296,0.027024962243667974,0.1826347939967201,0.0,8,65536
2.40.70.10,deepdta,composite,validation,High,20070,10141,0.5052815146985551,0.9296323440853689,0.9296323440853689,0.931482431502306,0.10611668140321553,0.029259042652760234,0.35248030152126686,0.0,8,65536
2.40.70.10,deepdta,composite,cath_lso_test,Weak+,36510,34786,0.9527800602574638,0.7570276475334838,0.7570276475334838,0.9807880571967017,0.0411327244013505,0.0254736155053175,0.18933270430434196,0.0,8,65536
